#KEY	C23.fq	C25.fq	C28.fq	K05.fq	K23.fq	K25.fq
0610005C13Rik	57	1	6	1	7	7
0610009B22Rik	103	47	139	96	60	110
0610009E02Rik	137	141	104	75	157	128
0610009L18Rik	14	4	30	19	3	22
0610010F05Rik	232	496	389	421	68	225
0610010K14Rik	138	120	241	196	130	217
0610012G03Rik	371	291	231	434	269	300
0610030E20Rik	481	392	410	253	176	425
0610031O16Rik	2	0	0	0	2	0
0610038B21Rik	35	17	56	36	11	28
0610039H22Rik	1	2	1	3	1	0
0610039K10Rik	850	427	714	500	858	927
0610040B10Rik	5	0	2	5	10	5
0610040F04Rik	171	439	259	1100	43	217
0610040J01Rik	54	99	42	116	175	360
0610043K17Rik	5	2	2	1	3	2
1110002E22Rik	49	48	9	34	2	7
1110002J07Rik	7	2	4	2	2	15
1110002L01Rik	220	143	191	110	65	148
1110004F10Rik	523	509	590	873	201	736
1110006O24Rik	17	4	10	9	8	4
1110008P14Rik	209	288	155	245	109	224
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	1	1	1	0	2	6
1110019D14Rik	25	27	13	7	11	21
1110020A21Rik	7	5	5	1	2	0
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	2	2	0	6	0	4
1110028F18Rik	0	0	0	0	0	0
1110032A03Rik	85	39	90	87	96	87
1110032F04Rik	0	0	0	0	1	4
1110036E04Rik	0	2	0	0	0	3
1110038B12Rik	299	339	475	571	138	271
1110038F14Rik	146	168	162	184	111	208
1110046J04Rik	38	18	56	59	3	13
1110051M20Rik	789	626	595	668	323	714
1110058D11Rik	0	0	0	0	0	0
1110059E24Rik	104	83	131	114	37	111
1110059G10Rik	80	87	91	97	39	99
1110065P20Rik	168	81	159	151	278	156
1190005I06Rik	0	1	0	1	0	0
1190007I07Rik	10	35	25	41	34	44
1190028D05Rik	0	0	0	0	0	0
1300002E11Rik	67	88	35	23	75	102
1300017J02Rik	267	0	0	6	0	0
1500004A13Rik	121	173	95	158	50	114
1500009C09Rik	9	63	37	105	5	38
1500009L16Rik	6	9	5	1	8	26
1500011B03Rik	76	61	111	40	84	104
1500012K07Rik	0	0	0	0	0	1
1500015A07Rik	48	36	33	24	26	35
1500015L24Rik	0	0	1	0	0	0
1500026H17Rik	1	0	0	1	8	0
1500035N22Rik	0	0	0	0	1	0
1600002D24Rik	0	0	0	0	0	0
1600010M07Rik	4	1	4	3	4	17
1600012H06Rik	521	557	599	442	220	509
1600012P17Rik	3	0	0	0	2	0
1600014C10Rik	475	185	172	141	85	431
1600014C23Rik	0	2	2	3	0	0
1600015H23Rik	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	80	46	60	121	75	63
1600023N17Rik	4	0	2	0	2	0
1600025M17Rik	0	0	0	0	0	0
1600027J07Rik	0	0	1	0	0	0
1600029I14Rik	0	0	0	0	0	0
1600029O15Rik	0	0	4	2	0	0
1700001C19Rik	21	43	27	78	31	47
1700001D01Rik	0	4	0	1	2	0
1700001F09Rik	2	0	0	5	0	0
1700001G01Rik	0	0	0	0	0	0
1700001G11Rik	116	76	81	109	7	91
1700001G17Rik	2	2	2	3	6	6
1700001J03Rik	1	1	0	0	9	0
1700001J04Rik	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0
1700001K19Rik	16	33	15	8	16	4
1700001K23Rik	0	0	0	0	2	0
1700001L05Rik	39	73	30	38	32	35
1700001L19Rik	0	0	0	1	0	0
1700001O22Rik	2	19	9	18	9	6
1700001P01Rik	8	3	4	0	0	0
1700003C15Rik	0	0	0	0	0	0
1700003D09Rik	0	26	4	5	89	34
1700003E16Rik	2	7	12	0	29	20
1700003E24Rik	0	0	0	0	0	0
1700003F12Rik	2	8	6	4	3	10
1700003G18Rik	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0
1700003M07Rik	6	6	0	0	0	2
1700003P14Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	2
1700007F19Rik	1	0	0	0	0	0
1700007J10Rik	515	421	728	1140	142	361
1700007K13Rik	0	2	0	0	0	3
1700007L15Rik	5	3	14	3	11	22
1700007P06Rik	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0
1700008J07Rik	50	46	53	45	29	78
1700008K24Rik	0	0	0	0	0	0
1700008O03Rik	3	0	0	0	0	7
1700008P02Rik	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0
1700009N14Rik	0	0	2	0	0	0
1700010B08Rik	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0
1700010I14Rik	1	2	7	0	0	3
1700010J16Rik	0	0	0	0	0	0
1700010K23Rik	6	0	3	5	0	0
1700010N08Rik	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0
1700011C11Rik	0	0	0	1	0	0
1700011L22Rik	0	0	0	1	0	2
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0
1700012B07Rik	0	0	1	0	0	1
1700012B09Rik	23	17	33	0	0	0
1700012C14Rik	2	0	2	1	0	0
1700012D01Rik	5	10	6	8	7	6
1700012D14Rik	7	3	4	4	4	4
1700012D16Rik	0	0	0	0	0	0
1700012H19Rik	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0
1700012J15Rik	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	9	0
1700013H16Rik	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0
1700016A09Rik	8	5	11	13	7	8
1700016B01Rik	0	0	0	0	0	0
1700016C15Rik	21	61	1	31	1	2
1700016D06Rik	1	0	0	0	0	0
1700016G22Rik	0	0	0	3	0	0
1700016H13Rik	2	0	2	3	0	0
1700016K05Rik	0	0	0	0	0	0
1700016K19Rik	0	2	3	2	14	9
1700016L04Rik	0	0	3	0	0	0
1700016L21Rik	1	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0
1700017B05Rik	918	807	1003	1113	420	1139
1700017G19Rik	0	0	0	0	0	1
1700017J07Rik	0	0	0	0	0	0
1700017L05Rik	0	0	2	0	0	0
1700017N19Rik	0	0	0	0	0	0
1700018A04Rik	1	10	3	9	0	1
1700018B08Rik	0	0	0	1	0	0
1700018B24Rik	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0
1700018L02Rik	145	125	56	214	92	114
1700019A02Rik	0	1	0	0	0	0
1700019C18Rik	0	0	0	0	0	0
1700019D03Rik	1	0	3	0	106	6
1700019E08Rik	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0
1700019J19Rik	0	0	0	0	0	0
1700019M22Rik	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0
1700019P21Rik	0	0	0	0	0	0
1700020A23Rik	7	4	1	6	0	1
1700020D05Rik	16	19	11	8	0	3
1700020D14Rik	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0
1700020L24Rik	51	67	118	77	20	48
1700020M21Rik	0	0	0	0	0	0
1700020N01Rik	2	0	0	0	2	0
1700020N15Rik	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	1
1700021F02Rik	2	0	0	0	0	0
1700021F07Rik	0	0	0	0	0	0
1700021G15Rik	0	0	0	0	0	0
1700021L23Rik	0	0	0	0	0	0
1700021N21Rik	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0
1700022H01Rik	2	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0
1700022I11Rik	0	1	0	0	1	1
1700022N22Rik	62	91	71	37	38	85
1700023A20Rik	0	0	0	0	0	0
1700023C21Rik	0	0	3	0	0	0
1700023D09Rik	234	154	190	138	142	190
1700023F02Rik	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0
1700024I08Rik	0	0	0	0	0	0
1700024J04Rik	0	0	0	0	0	0
1700024N05Rik	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0
1700025D23Rik	1	0	0	0	0	0
1700025F24Rik	0	0	0	2	0	0
1700025G04Rik	411	336	280	347	99	453
1700025J12Rik	0	0	0	0	0	1
1700025K04Rik	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0
1700025N23Rik	4	2	0	0	0	3
1700025O08Rik	0	0	0	0	0	0
1700026D11Rik	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0
1700026J12Rik	0	0	0	0	0	0
1700026J14Rik	0	0	0	2	0	1
1700027A15Rik	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	1	0
1700028B04Rik	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0
1700028E10Rik	2	6	4	3	5	1
1700028I16Rik	0	1	0	0	2	0
1700028J19Rik	0	9	1	1	35	6
1700028K03Rik	55	19	36	62	14	35
1700028M03Rik	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0
1700029H14Rik	0	0	1	3	0	1
1700029I15Rik	9	7	5	4	7	4
1700029J03Rik	0	0	0	0	0	0
1700029J07Rik	34	18	24	10	18	16
1700029M03Rik	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	7	1
1700030C10Rik	82	10	71	4	13	39
1700030C12Rik	53	119	72	52	8	54
1700030C14Rik	0	0	0	0	0	0
1700030F04Rik	0	0	0	0	0	0
1700030J22Rik	21	20	11	3	1	16
1700030K09Rik	113	96	126	152	23	93
1700030L20Rik	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	1
1700030O20Rik	0	0	0	0	0	0
1700031A10Rik	2	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0
1700034H15Rik	55	55	40	53	31	61
1700034I23Rik	1	1	1	2	0	0
1700034J05Rik	2	0	0	0	0	1
1700034K08Rik	0	0	0	0	0	0
1700034P13Rik	88	96	71	77	21	54
1700036G14Rik	0	0	0	0	0	0
1700037C18Rik	6	5	7	2	9	9
1700037H04Rik	248	356	293	294	76	243
1700039E22Rik	0	0	0	0	0	0
1700039M10Rik	0	0	0	0	0	0
1700040D17Rik	3	2	1	0	0	2
1700040K01Rik	0	0	0	0	0	0
1700041A01Rik	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	1	0	1	9	1	1
1700046C09Rik	0	0	0	0	0	0
1700047A11Rik	45	32	39	39	2	19
1700047E10Rik	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0
1700047M11Rik	0	0	1	2	0	1
1700048F04Rik	0	0	0	0	0	0
1700048M11Rik	2	4	1	2	3	1
1700048O14Rik	0	0	0	0	0	0
1700048O20Rik	5	2	4	1	2	9
1700049E15Rik	0	2	0	0	2	14
1700049E17Rik1	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0
1700049L16Rik	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0
1700052K11Rik	42	16	42	53	14	40
1700054A03Rik	0	0	0	0	6	0
1700054K19Rik	0	0	0	0	0	0
1700054M17Rik	2	0	0	2	0	0
1700055C04Rik	0	0	0	0	0	0
1700055D16Rik	44	29	17	35	3	23
1700055D18Rik	5	3	5	4	6	10
1700056E22Rik	12	6	21	71	4	6
1700057G04Rik	0	0	0	1	0	0
1700057H15Rik	0	0	0	0	0	0
1700057H21Rik	0	0	0	0	0	0
1700060C16Rik	0	0	0	0	0	0
1700060C20Rik	0	1	0	0	0	0
1700061F12Rik	0	0	0	0	0	0
1700061I17Rik	13	15	48	1	1	4
1700061J23Rik	0	0	0	0	0	0
1700061N14Rik	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	0	0	1	0	0	0
1700063H04Rik	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0
1700064M15Rik	0	0	0	0	3	2
1700065D16Rik	3	8	9	13	3	6
1700065I16Rik	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0
1700065J18Rik	0	5	0	0	0	0
1700065L07Rik	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0
1700066B17Rik	0	0	0	3	0	0
1700066B19Rik	4	18	10	2	9	41
1700066C05Rik	0	0	0	0	0	0
1700066J03Rik	0	0	0	0	0	0
1700066M21Rik	52	92	107	77	17	89
1700066N21Rik	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0
1700067K01Rik	14	8	2	2	2	7
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	0	1	0	0	0	0
1700069P05Rik	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0
1700071M16Rik	154	96	352	211	40	245
1700072B07Rik	0	0	0	0	0	0
1700072I22Rik	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0
1700073E17Rik	1	0	0	0	0	1
1700074H08Rik	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0
1700080G11Rik	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0
1700083H02Rik	0	0	0	0	0	0
1700084D21Rik	0	0	0	0	0	0
1700084E18Rik	15	6	2	8	3	5
1700084F23Rik	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0
1700086L19Rik	0	0	0	1	37	7
1700086O06Rik	71	82	73	47	20	35
1700088E04Rik	350	306	467	476	212	323
1700091H14Rik	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0
1700092M07Rik	0	0	3	1	4	0
1700093K21Rik	0	0	1	0	3	0
1700094D03Rik	38	42	34	24	50	43
1700094J05Rik	37	38	74	91	15	50
1700094M24Rik	0	0	0	0	0	1
1700095A21Rik	0	0	0	0	0	0
1700095B10Rik	0	0	0	36	0	0
1700095J03Rik	1	0	4	1	1	3
1700095J07Rik	0	0	0	0	0	0
1700095J12Rik	0	3	1	0	0	0
1700095K22Rik	0	0	0	0	0	0
1700096J18Rik	2	0	1	0	1	1
1700096K18Rik	28	26	18	42	20	19
1700096P03Rik	0	0	0	0	0	0
1700097N02Rik	0	0	1	0	0	0
1700099I09Rik	44	31	80	64	17	29
1700100I10Rik	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0
1700101I11Rik	191	125	139	92	51	87
1700101O22Rik	0	0	0	0	0	0
1700102H20Rik	0	0	1	4	2	1
1700102P08Rik	3	3	3	2	1	3
1700104L18Rik	0	0	0	0	0	0
1700105P06Rik	11	17	5	14	2	13
1700108F19Rik	5	8	5	4	0	2
1700108J01Rik	1	0	0	1	0	0
1700109G14Rik	1	0	2	0	0	0
1700109G15Rik	0	0	0	0	0	0
1700109H08Rik	21	33	26	28	23	28
1700109I08Rik	0	0	0	0	0	0
1700109K24Rik	23	32	21	23	9	13
1700110C19Rik	8	2	5	0	2	1
1700110I01Rik	0	0	0	0	0	0
1700110I07Rik	0	0	0	0	0	0
1700110K17Rik	57	26	12	99	183	22
1700111N16Rik	0	0	0	0	0	0
1700112D23Rik	1	2	0	0	0	0
1700112H15Rik	0	0	0	0	0	1
1700112J05Rik	0	0	2	2	0	0
1700112J16Rik	1	1	1	1	9	4
1700113A16Rik	113	109	92	135	91	114
1700113B09Rik	0	0	0	0	0	0
1700113H08Rik	0	0	0	0	0	0
1700116B05Rik	0	0	0	0	0	0
1700119H24Rik	0	0	0	0	0	0
1700120B22Rik	35	29	42	27	13	37
1700120C14Rik	63	37	56	117	23	46
1700120E14Rik	0	1	0	2	0	0
1700120G07Rik	1	0	0	1	1	0
1700120K04Rik	4	5	0	2	3	8
1700121L16Rik	0	0	0	0	0	0
1700121N20Rik	0	0	0	0	0	0
1700122C19Rik	0	0	0	0	0	0
1700122H20Rik	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0
1700123J17Rik	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0
1700123L14Rik	0	0	0	0	0	0
1700123M08Rik	8	6	14	9	7	10
1700123O12Rik	0	0	0	0	0	0
1700123O20Rik	363	272	299	399	105	308
1700123O21Rik	0	0	0	0	0	0
1700124L16Rik	2	0	2	0	1	0
1700124M09Rik	0	0	0	0	0	0
1700125G02Rik	0	0	0	0	0	0
1700125G22Rik	0	0	0	3	0	0
1700125H03Rik	3	10	3	11	0	4
1700125H20Rik	1	0	0	3	0	3
1700126A01Rik	0	0	0	0	0	0
1700126H18Rik	0	0	0	0	0	0
1700128A07Rik	0	0	0	0	0	0
1700128F08Rik	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0
1810006J02Rik	0	3	0	0	0	1
1810007C17Rik	0	0	2	6	6	0
1810007D17Rik	0	0	0	0	8	0
1810008I18Rik	3	0	2	3	12	5
1810009A15Rik	0	1	0	2	0	0
1810009J06Rik	0	0	0	0	4790	107
1810010H24Rik	20	5	8	17	33	9
1810012K16Rik	9	6	2	1	5	2
1810013A23Rik	1	2	1	5	4	1
1810013L24Rik	795	699	514	578	172	493
1810014B01Rik	14	20	20	9	17	32
1810018F18Rik	0	0	0	0	93	0
1810019D21Rik	128	68	38	132	317	184
1810019N24Rik	2	0	0	0	1	5
1810020O05Rik	5	2	10	2	10	0
1810021B22Rik	16	5	1	12	24	14
1810024B03Rik	16	2	20	17	12	11
1810030O07Rik	322	358	401	417	143	379
1810034E14Rik	19	15	9	18	7	20
1810037I17Rik	376	337	461	554	124	440
1810041H14Rik	1	0	2	0	1	1
1810044D09Rik	12	3	3	24	62	13
1810046K07Rik	2	1	0	0	6	3
1810049I09Rik	0	0	0	0	0	0
1810053B23Rik	3	0	0	0	176	8
1810055G02Rik	531	421	516	480	38	262
1810058I24Rik	691	359	415	518	211	387
1810062G17Rik	15	12	33	34	14	7
1810062O18Rik	78	37	39	35	15	32
1810063I02Rik	0	0	0	0	33	0
1810064F22Rik	8	11	4	0	25	50
1810065E05Rik	0	0	0	0	0	1
1810073O08Rik	0	3	2	0	7	7
2010001A14Rik	12	7	12	12	9	18
2010003K11Rik	29	1	1	6	3	8
2010009K17Rik	3	1	2	13	3	5
2010010A06Rik	0	0	0	0	0	0
2010016I18Rik	9	15	7	21	18	53
2010106C02Rik	0	0	0	2	0	0
2010106E10Rik	0	0	0	0	0	0
2010109A12Rik	0	0	0	2	0	2
2010204K13Rik	15	38	16	70	23	24
2010308F09Rik	0	0	2	0	0	0
2010310C07Rik	0	0	1	0	2	2
2010315B03Rik	105	78	80	49	54	158
2010320M18Rik	55	38	58	56	24	46
2200002D01Rik	354	316	174	1191	199	447
2200002J24Rik	0	2	1	4	5	10
2210010C04Rik	0	0	0	0	215211	436
2210016F16Rik	353	276	421	424	179	416
2210016L21Rik	262	209	301	311	165	276
2210039B01Rik	0	0	0	0	16	4
2210404E10Rik	0	0	0	0	1	0
2210406O10Rik	2	3	5	3	9	2
2210407C18Rik	0	6	0	21	1600	773
2210408F21Rik	63	49	49	26	24	50
2210408I21Rik	28	21	42	54	14	28
2210409D07Rik	0	1	0	0	0	0
2210409E12Rik	0	0	0	0	0	0
2210414B05Rik	0	0	0	0	0	0
2210416O15Rik	18	3	7	5	5	11
2210417A02Rik	2	1	10	2	5	1
2210418O10Rik	0	0	0	0	0	0
2210420H20Rik	0	0	0	0	0	0
2300002M23Rik	0	0	0	0	0	0
2300003K06Rik	0	0	2	0	0	0
2300009A05Rik	67	31	51	102	70	65
2310001H17Rik	26	18	23	14	34	40
2310001K24Rik	17	16	18	18	7	12
2310002D06Rik	0	0	0	1	0	0
2310002F09Rik	0	3	0	0	0	3
2310002L09Rik	0	0	0	2	0	0
2310003N18Rik	0	0	0	0	0	0
2310005A03Rik	0	0	0	0	0	0
2310005E17Rik	0	0	0	0	0	0
2310008N11Rik	0	2	0	0	0	0
2310009B15Rik	55	70	82	149	65	56
2310010J17Rik	29	16	11	24	33	26
2310011J03Rik	191	177	247	298	136	394
2310015A10Rik	81	86	104	128	134	122
2310015D24Rik	1	1	0	1	0	0
2310016D03Rik	0	0	0	0	0	0
2310016G11Rik	1	9	0	0	6	15
2310020H05Rik	0	0	0	0	0	0
2310022A10Rik	133	136	164	215	52	172
2310022B05Rik	1137	1106	704	937	224	604
2310030A07Rik	0	0	0	0	0	0
2310030G06Rik	71	35	39	50	88	76
2310033P09Rik	133	105	177	136	43	153
2310034C09Rik	0	0	0	0	0	0
2310034G01Rik	7	4	3	10	1	9
2310034O05Rik	0	0	0	0	0	0
2310039H08Rik	73	71	133	157	266	97
2310039L15Rik	0	0	0	0	0	1
2310040G24Rik	10	6	8	3	9	17
2310043L19Rik	0	0	4	0	2	1
2310043M15Rik	44	64	19	32	20	64
2310043O21Rik	0	0	0	0	6	0
2310050C09Rik	0	0	0	0	0	0
2310057J18Rik	5	38	9	0	2	13
2310057M21Rik	98	85	106	99	34	93
2310057N15Rik	0	0	0	0	0	0
2310061I04Rik	121	111	190	137	179	169
2310061N02Rik	0	0	0	0	0	0
2310065F04Rik	0	0	0	0	0	0
2310068J16Rik	19	37	27	62	9	31
2310069B03Rik	0	1	5	2	1	2
2310069G16Rik	0	0	0	0	0	0
2310075C17Rik	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0
2310081J21Rik	0	0	0	0	0	0
2400006E01Rik	0	0	0	0	1	0
2410002F23Rik	382	434	399	537	404	586
2410003L11Rik	0	3	0	0	0	0
2410004B18Rik	137	113	169	203	47	104
2410004I01Rik	0	1	0	0	0	2
2410004P03Rik	2	0	1	0	3	7
2410006H16Rik	195	191	515	678	357	349
2410012E07Rik	0	0	0	0	0	0
2410017I17Rik	0	0	1	0	0	2
2410018L13Rik	33	12	4	3	2	9
2410021H03Rik	1	0	0	0	0	0
2410022M11Rik	39	18	35	77	48	55
2410124H12Rik	4	1	0	2	1	0
2410137M14Rik	0	1	0	0	0	0
2410141K09Rik	0	0	0	0	0	0
2500002B13Rik	22	29	16	19	6	7
2500004C02Rik	72	24	27	24	10	40
2510002D24Rik	80	73	50	103	76	103
2510003B16Rik	3	3	7	2	2	7
2510009E07Rik	366	359	264	103	90	420
2510039O18Rik	678	680	812	722	377	990
2610001J05Rik	379	239	401	305	108	310
2610002M06Rik	119	173	195	124	79	203
2610005L07Rik	109	154	148	241	21	111
2610008E11Rik	155	88	127	77	82	169
2610016A17Rik	0	0	0	1	0	1
2610020C07Rik	282	300	229	240	88	249
2610024D14Rik	1	5	3	0	0	1
2610027K06Rik	41	35	33	34	19	58
2610028E06Rik	0	0	0	0	0	0
2610028H24Rik	3	3	7	4	3	4
2610035D17Rik	29	66	121	102	57	86
2610035F20Rik	0	0	0	6	0	0
2610037D02Rik	0	2	0	1	0	0
2610042L04Rik	0	0	0	0	0	1
2610044O15Rik8	58	55	79	42	11	42
2610203C22Rik	19	16	19	3	27	25
2610206C17Rik	45	54	52	86	31	83
2610301B20Rik	51	59	101	52	71	104
2610306M01Rik	33	21	38	14	14	23
2610307P16Rik	96	87	67	68	10	34
2610316D01Rik	0	2	1	0	0	0
2610318M16Rik	0	2	2	3	1	1
2610318N02Rik	14	20	51	60	5	11
2610507B11Rik	2729	2890	4018	3513	1005	3662
2610507I01Rik	142	88	116	11	76	75
2610524H06Rik	99	60	108	70	43	80
2610528A11Rik	6	17	1	9	2	5
2610528J11Rik	2	15	2	3	76	82
2700012I20Rik	4	2	3	1	1	4
2700038G22Rik	28	34	50	30	7	32
2700046A07Rik	1	0	0	0	1	1
2700046G09Rik	10	11	26	12	25	25
2700049A03Rik	120	174	181	115	47	117
2700054A10Rik	11	86	12	12	6	9
2700062C07Rik	57	65	79	105	35	75
2700069I18Rik	0	3	11	0	0	0
2700070H01Rik	6	0	1	1	0	2
2700081O15Rik	1355	1044	1285	527	167	626
2700089I24Rik	0	0	0	0	0	0
2700097O09Rik	52	60	61	55	21	26
2700099C18Rik	29	57	102	51	2	31
2810001G20Rik	30	11	30	37	27	28
2810002D19Rik	36	35	41	13	3	36
2810004N23Rik	236	356	350	283	57	193
2810006K23Rik	91	72	118	57	26	80
2810013P06Rik	153	85	82	108	62	126
2810021J22Rik	66	50	95	79	43	68
2810025M15Rik	90	110	236	212	44	165
2810029C07Rik	17	12	9	13	9	10
2810030D12Rik	2	0	0	3	13	1
2810032G03Rik	3	0	0	0	0	2
2810049E08Rik	0	0	3	0	0	1
2810403D21Rik	17	6	16	16	17	14
2810404M03Rik	1	0	0	0	0	0
2810405F15Rik	5	7	2	0	3	3
2810408A11Rik	36	39	72	122	36	84
2810408I11Rik	7	15	18	17	0	7
2810410L24Rik	45	59	62	31	33	58
2810414N06Rik	3	5	14	2	7	11
2810425M01Rik	5	0	0	0	2	1
2810429I04Rik	3	2	10	3	0	5
2810433D01Rik	14	10	2	0	0	17
2810442N19Rik	0	0	1	0	0	1
2810454H06Rik	15	9	14	7	2	5
2810459M11Rik	32	31	1	2	72	114
2810471M01Rik	0	0	0	0	11	0
2900005J15Rik	36	21	8	6	39	58
2900009J06Rik	6	5	2	3	0	3
2900026A02Rik	935	1654	815	627	498	1309
2900040C04Rik	0	0	0	0	0	0
2900041M22Rik	3	5	3	0	3	2
2900052L18Rik	52	61	65	25	65	74
2900052N01Rik	3	0	0	0	0	0
2900057B20Rik	0	1	0	0	0	1
2900060B14Rik	1	0	0	1	0	0
2900060N12Rik	5	0	2	1	0	0
2900076A07Rik	40	37	33	29	34	60
2900079G21Rik	0	0	0	4	0	0
2900092C05Rik	0	0	0	0	0	0
2900092D14Rik	0	0	0	0	0	0
2900093K20Rik	24	14	16	11	34	16
3000002C10Rik	24	11	18	6	12	22
3010001F23Rik	7	2	6	1	0	4
3010003L21Rik	71	136	103	159	44	132
3100003L05Rik	0	1	0	0	0	0
3110009E18Rik	7	11	18	10	4	16
3110009F21Rik	0	0	0	0	0	0
3110015C05Rik	0	0	1	0	0	0
3110021A11Rik	10	6	5	6	0	3
3110039M20Rik	12	31	73	135	0	0
3110040M04Rik	0	0	0	0	0	0
3110040N11Rik	86	66	63	110	56	118
3110045C21Rik	13	3	35	3	3	36
3110056K07Rik	66	39	43	36	11	83
3110067G11Rik	1	0	2	2	0	0
